VVVVV,MMMMMMMMMMMM,32
HHHHHHHH,IIIIIIIII,83
G,EEEEEEE,23
FFFFF,WWWWWW,80
DDDDD,IIIIIIIIIII,90
W,HHHHHHHH,67
BBBBBBB,ZZZZZZZ,63
QQQ,UUU,38
U,JJ,50
GGGGGGGGGG,TTTTTTTTTTT,46
ZZZ,EEEEEEEEEE,95
LLLLLLLLL,ZZZZZZZZZZZ,70
GGGGGGGG,OOOOOOOOO,17
EEE,TTTT,71
DDDDDDDD,BBBBBBBBB,92
ZZZZZZZZZ,IIIIIIIIIIII,17
EEEEEEEE,MMMMMMMMMM,7
DDDDDDDDDD,PPPPPPPPPP,6
SSSSSSSSS,HHHHHHHHHH,33
FFF,XXXXXXXXX,97
S,VVVVVV,70
RRRRR,ZZZZZZZZZ,68
BBBBBB,FFFFFFFFFF,16
JJ,AAAAA,13
MM,CCCCCCCCCC,59
OO,AAAAAAAAAAA,55
JJJJJJ,LLLLLL,71
HHHH,LLLLLLLLLLL,88
IIIII,PPPPPPPPPPP,99
TTTTTTT,GGGGGGGGGGGG,65
DDDDDDDD,SSSSSSSS,8
FFFFFF,HHHHHHHHH,44
PPPPPPPP,ZZZZZZZZZZZ,39
VVVVVVVV,NNNNNNNNN,87
OOOO,EEEEEEEEE,54
FFFFFF,KKKKKKKKKK,81
ZZZ,AAAAAAAAAA,64
YYYYYYYY,VVVVVVVVVV,57
K,EEEEEEEEEEE,28
U,DDDDDDDDDD,68
CCC,JJJJJJJJJJJJ,29
EE,WWWWWWWWWWW,60
SS,IIIIIII,72
CCCCCC,TTTTTTTTT,72
S,ZZ,58
V,YYYY,38
JJJ,OOOOOOO,61
HHHHHHH,IIIIIIIIIII,9
HHHHHHHH,AAAAAAAAAAA,5
QQQ,HHHHH,36
DDDDD,WWWWWWW,8
I,PPP,22
I,GGGGG,64
TTTT,HHHHHHHHHHH,53
XXX,PPPPPP,33
UU,MMMMMMMM,15
NNNNN,KKKKKKKKKK,54
QQ,XXXXXXXXXXX,17
MMM,VVVVVVVV,63
UUUUUU,SSSSSSSS,19
IIIIIII,HHHHHHHH,44
JJ,OO,10
TTTTTTTT,RRRRRRRRR,36
EEE,DDDDDDDDDDD,72
IIIIIIIIII,HHHHHHHHHHH,68
BBBB,VVVVVVVVVVV,97
CC,GGGGG,73
TTTT,IIIIIIIIIII,78
QQ,KKKKKKKKK,100
VVVVV,OOOOOOOOOOO,90
H,HH,10
EE,IIIIIIIII,64
ZZZZZ,ZZZZZZ,56
DDDDDD,XXXXXXX,31
MMMM,NNNNNNNN,15
PPPPPP,ZZZZZZZZZZZ,67
GGGGGGG,GGGGGGGG,70
JJ,MMMMMMMM,96
NN,BBBB,4
CCCCCCCC,JJJJJJJJJJ,22
Z,IIIIII,81
PP,FFFFFFFF,28
TTT,LLLLLLLLLL,50
JJJ,QQQQQQQQQQQ,25
Y,YYY,80
KKKKK,DDDDDDDD,69
XXXX,NNNNNNNNNNN,4
XXXX,LLLLLLL,78
NNN,NNNNNNNNNNN,74
W,GGGGGGGGGG,35
MMM,BBBBBBBBBBB,11
CCCC,JJJJJJJJJJJJ,21
BB,PPPPPPPP,57
GG,DDDDDD,76
LLLLLL,OOOOOOOOOO,78
SSSSSSS,DDDDDDDDDDD,99
PPPPPPPP,ZZZZZZZZ,52
PPPPPPPP,QQQQQQQQQQQ,7
GGG,NNNNNNNNNNN,49
GG,VVVVV,35
QQQ,HHHHHHHHH,70
QQQQQQ,QQQQQQQQQQ,19
L,SSSSSSSS,41
FFFF,JJJJJ,15
AAAAA,LLLLLLLLLLL,29
SSSSSSSSS,EEEEEEEEEEE,28
BBB,OOOOOOOOOO,65
M,NNNNN,95
HH,RRRRRRR,36
XXX,NNNNNNN,83
KKKK,EEEEEEEEE,32
RRRRR,PPPPPPPPP,93
EEEEEEEEE,SSSSSSSSS,100
U,AAAAAAA,28
TT,RRRR,80
II,JJJJJJJJJJ,14
SSSSS,VVVVV,71
V,UU,37
SSSSSSSSSSS,EEEEEEEEEEEE,73
W,ZZZZZZZ,48
SSSS,ZZZZZZ,79
SSSSS,IIIIIII,69
FF,ZZZZZZZZZZ,29
VVV,VVVVVVV,59
OOOO,TTTTTTTTT,11
J,NNNN,13
OOOO,ZZZZZZZZZ,48
HHHHHHHHH,CCCCCCCCCC,70
XX,IIIIIIIIIII,61
VVVV,CCCCCCCCCC,55
K,VVVVVVVVV,40
NNNNNN,YYYYYYYYYYY,51
JJJJJJJJ,MMMMMMMMMM,52
MMM,MMMMMM,29
CCCCC,ZZZZZZZZ,68
YY,KKKK,79
BBBB,CCCCCCCCCC,16
LLLLLL,CCCCCCCCCC,23
AAAA,SSSSSSSS,81
EEEE,HHHHHHHHHH,34
BBBBBBBBBB,BBBBBBBBBBBB,43
UUU,CCCC,28
GGGGGGGGG,EEEEEEEEEEE,14
NN,CCCCC,86
KKKKKK,FFFFFFFFFFFF,63
L,LLLLLLLLLLL,75
DD,CCCC,95
YY,IIIIIIIIIIII,33
XXXX,YYYYYYYYY,85
E,BBBBBBBBB,61
H,OOOOOOOO,3
TTTTTTT,MMMMMMMMMM,52
UUUUU,HHHHHHHHH,15
IIIIIIIIII,LLLLLLLLLLLL,39
BBBB,ZZZZZ,34
PPPP,MMMMMMMM,35
AAAAAAAA,NNNNNNNN,96
FF,FFFFFFFFFFF,22
OOO,RRRRR,2
WWWWWW,UUUUUUU,34
MMMM,IIIIII,86
HHHHHH,WWWWWW,44
UUUUUUU,AAAAAAAAAA,22
PPPPPPPP,XXXXXXXX,22
R,NNNNNNNNN,51
W,FFFFFFFF,77
NNN,XXXXX,74
VVVVVVVV,MMMMMMMMMM,42
UU,BBBB,58
M,JJ,6
JJJ,FFFFFF,30
F,AAAA,55
FFF,AAAAAAAAAAAA,96
GGGGGGGG,QQQQQQQQQ,17
UUUUUUUUUUU,HHHHHHHHHHHH,94
GGGGGG,GGGGGGGGGGGG,57
RRRRRRR,SSSSSSSSSS,27
EEEEEE,HHHHHHHHHHH,55
T,Z,15
KKKKKKKK,XXXXXXXXX,33
JJJJ,TTTTTTTTTT,57
UUU,WWWWWWWWWW,51
KKK,GGGGGGGG,44
PPPP,RRRRRRRRRRR,77
PPPPPPPP,RRRRRRRRRR,39
JJJ,VVVVVVVVVVV,17
